,lang,browser,wasm_exec_ms,fps_js,fps_game,tps,bunnies,avg_frame,min_frame,max_frame,heap_mb
,JS,"Firefox",,60,63.00,60.00,10,16.66,15.00,19.00,
,JS,"Firefox",,61,62.00,61.00,30,16.66,14.00,19.00,
,JS,"Firefox",,61,61.00,60.00,630,16.66,11.00,23.00,
,JS,"Firefox",,60,61.00,61.00,1240,16.67,15.00,18.00,
,JS,"Firefox",,60,60.00,60.00,1840,16.67,15.00,18.00,
,JS,"Firefox",,60,60.00,60.00,2440,16.67,15.00,18.00,
,JS,"Firefox",,60,61.00,61.00,3050,16.75,15.00,22.00,
,JS,"Firefox",,61,61.00,61.00,3660,16.54,10.00,21.00,
,JS,"Firefox",,60,60.00,60.00,4260,16.68,15.00,18.00,
,JS,"Firefox",,60,60.00,60.00,4860,16.67,15.00,18.00,
,JS,"Firefox",,61,60.00,60.00,5460,16.64,15.00,18.00,
,JS,"Firefox",,60,61.00,61.00,6070,16.67,15.00,18.00,
,JS,"Firefox",,60,61.00,61.00,6680,16.68,15.00,18.00,
,JS,"Firefox",,61,61.00,61.00,7290,16.66,15.00,18.00,
,JS,"Firefox",,61,61.00,61.00,7900,16.64,15.00,18.00,
,JS,"Firefox",,60,60.00,60.00,8500,16.67,13.00,20.00,
,JS,"Firefox",,60,61.00,61.00,9110,16.67,15.00,18.00,
,JS,"Firefox",,60,60.00,60.00,9710,16.67,15.00,18.00,
,JS,"Firefox",,60,61.00,61.00,10320,16.67,14.00,20.00,
,JS,"Firefox",,59,60.00,60.00,10920,17.00,15.00,33.00,
,JS,"Firefox",,61,59.00,60.00,11460,16.61,15.00,18.00,
,JS,"Firefox",,60,61.00,61.00,11520,16.87,15.00,19.00,
,JS,"Firefox",,56,60.00,61.00,12130,17.96,16.00,28.00,
,JS,"Firefox",,60,56.00,60.00,12670,16.67,14.00,20.00,
,JS,"Firefox",,55,61.00,61.00,12740,18.44,17.00,22.00,
,JS,"Firefox",,59,55.00,61.00,13270,16.97,14.00,33.00,
,JS,"Firefox",,61,59.00,60.00,13270,16.62,14.00,19.00,
,JS,"Firefox",,53,60.00,60.00,13330,18.98,17.00,21.00,
,JS,"Firefox",,59,54.00,61.00,13860,17.17,15.00,28.00,
,JS,"Firefox",,61,59.00,60.00,13860,16.64,15.00,19.00,
,JS,"Firefox",,51,60.00,60.00,13920,19.88,18.00,21.00,
,JS,"Firefox",,59,51.00,61.00,14460,16.95,16.00,19.00,
,JS,"Firefox",,60,59.00,60.00,14460,16.77,16.00,19.00,
,JS,"Firefox",,49,60.00,61.00,14530,20.57,19.00,22.00,
,JS,"Firefox",,56,49.00,60.00,15060,18.04,17.00,20.00,
,JS,"Firefox",,56,56.00,60.00,15060,18.04,16.00,20.00,
,JS,"Firefox",,57,56.00,61.00,15060,17.68,16.00,19.00,
,JS,"Firefox",,58,57.00,61.00,15060,17.45,16.00,20.00,
,JS,"Firefox",,57,58.00,60.00,15060,17.54,16.00,20.00,
,JS,"Firefox",,57,58.00,61.00,15060,17.68,16.00,19.00,
,JS,"Firefox",,56,57.00,61.00,15060,18.11,16.00,22.00,
,JS,"Firefox",,38,60.00,60.00,15110,27.37,18.00,50.00,
,JS,"Firefox",,42,61.00,61.00,15110,23.90,18.00,64.00,
,JS,"Firefox",,53,61.00,61.00,15110,18.98,17.00,25.00,
,JS,"Firefox",,56,61.00,61.00,15110,17.98,17.00,20.00,
